ID,TITLE,ADDRESS,PHONE,FAX,EMAIL,TOLL_FREE,URL,DESCRIPTION,AREA,LONGITUDE,LATITUDE
17,Homestead House,"3272 Homestead Drive, Mount Hope, L0R 1W0",905-679-2581,,bvtschan@shaw.ca,905-679-2581,http://www.homesteadhousebb.ca/,"Featuring a sun deck, hot tub and solarium. The Airport Travelers first choice. Two minutes to the Hamilton International Airport. 10 minutes to Hamilton. 45 minutes to Toronto. 55 minutes to Niagara Falls & Casino.",Accommodations,-79.9157212000,43.1539257000
18,Homewood Suites by Hilton Hamilton,"40 Bay Street South, Hamilton, L8P 0B3",905-667-1200,,yhmhw_homewood@hilton.com,905-667-1200,www.hamilton.homewoodsuites.com,"Homewood Suites by Hilton Hamilton, Ontario, Canada, is the perfect accommodation choice for business or leisure in the heart of downtown Hamilton with close proximity to corporate and government offices, and a multitude of shopping and dining options.",Accommodations,-79.8744294000,43.2571012000
19,John Bayus Park,"1429 Sheffield Rd., 35, Cambridge, N1R 8B2",519-623-2845,,none@none.available,519-623-2845,http://www.campgrounds.org/campground?id=185,John Bayus Park offers quiet family camping at their small 18 site campground. There are places for both seasonal and overnight campers with some serviced sites available as well as a recreation hall and games area.,Accommodations,-80.2124691000,43.3358813000
20,King's Court Rental Home ,"86 King Street East, Dundas, L9H 1C2",905-517-1862,,,905-517-1862,www.kingscourtrentalhome.com,"This beautiful furnished four bedroom home in historic Dundas has everything you need! You will find parking, laundry, Wi-Fi, cable TV, a fully set up kitchen, outdoor seating, comfortable beds (2 Queen, 1 Double, 1 Single). This home is perfect for a family! You can walk to stores, boutiques, restaurants, grocery store, and hiking and biking trails. Only ten minutes from McMaster University, 20 minutes to the soccer stadium and 40 minutes to the cycling Velodrome in Milton.",Accommodations,-79.9480391000,43.2658835000
21,Lawson Park,"322 Concession 11 Rd. E., Freelton, L0R 1K0",905-659-3395,,susanlawson@lawsonpark.ca,905-659-3395,www.lawsonpark.ca,"Pull-through sites with water, sewer electric available for tourists. Please call ahead for reservations. Seasonal, monthly, and weekly sites for campers locally. Large sites. Muskoka like setting.",Accommodations,-80.0040171000,43.4220428000
22,Log Inn B&B,"8211 Chippewa Creek Road E, Mount Hope, L0R 1W0",905-679-1876,,loginn@shaw.ca,905-679-1876,www.loginnbb.ca/loginne.htm,Log Inn is a gentle place to relax. Explore 86 acres of forest and wetland. If you enjoy walking you can experience forest and meadows steps from the house.,Accommodations,-79.9139023000,43.1309302000
23,MacNab Terrace Guest House,"256 - 258 MacNab Street North, Hamilton, L8L 1K3",905-572-7878,,joinus@macnabterrace.ca,905-572-7878,www.macnabterrace.ca,"A renovated historical guest house with 10 rooms and an apartment featuring self catering for the visitor wanting a centrally located comfortable place for a week, a month or longer.",Accommodations,-79.8669292000,43.2650214000
24,Maple Grove Trailer Park,"1488 Concession 11 West, Flamborough, N0B 2J0",905-659-3311,,,905-659-3311,www.maplegroveflamborough.com,"Maple Grove offers a large amount of space in which to enjoy the local wildlife and picturesque scenery. In addition to 100 spacious trailer sites, we have large grassy areas, very large natural wooded areas and wetlands, large fishing pond fed by a fresh water creek, a nature lovers paradise with 100 seasonal trailer sites",Accommodations,-80.1261287000,43.4102998000
25,McMaster University - Conference & Event Services,"1280 Main Street West, Hamilton, L8S 4K1",905-525-9140 ext. 24781,,meet@mcmaster.ca,905-525-9140 ext. 24781,http://conference.mcmaster.ca,,Accommodations,-79.9202861000,43.2622445000
26,Mohawk College Residence and Conference Centre,"245 Fennell Avenue West, Hamilton, L9C 7V7",905-385-3200 ext. 4006  ,,mohawk@stayrcc.com,905-385-3200 ext. 4006  ,http://www.stayrcc.com/hamilton,"Air-conditioned accommodations located minutes from downtown, on the Hamilton escarpment. Suites include two private bedrooms, kitchenette, private bathroom. Year round meeting & conference services facility. Affordable summer accommodations. Daily, weekly and monthly rates available from May to August. Rate includes parking, internet, local calls, continental breakfast*  (*restrictions apply)",Accommodations,-79.8894419000,43.2405016000
27,Olympia Village RV Park and Campground ,"1161 Conc 4, RR 2, Waterdown, L0R 2H2",905-627-1923,,info@olympiavillage.ca,905-627-1923,www.olympiavillage.ca,"New! Drive-Thru Sites 30/50 amp, water, sewer. Located in rural Hamilton. Close to the QEW, 403, #5, #6 & #8 highways. Minutes to all of Hamiltons Attractions. eg. 6 Golf Courses within 5 minutes",Accommodations,-80.0438535000,43.3038275000
28,Osler House Bed & Breakfast,"30 South St. W., Dundas, L9H 4C5",289-238-9278,,Gary@oslerhouse.com,289-238-9278,www.oslerhouse.com,"This elegant and historic 1848 home has been painstakingly restored and is now open as a boutique inn. This was once the home of Sir William Osler and his illustrious family. Located minutes away from beautiful downtown Dundas, and less than 5 minute drive from McMaster University and Health Centre, and 10 minutes away from downtown Hamilton as well as picturesque nature trails and waterfalls",Accommodations,-79.9487534000,43.2604154000
29,Pine Valley Park Campground Resort,"955 Valens Rd., Flamborough, N0B 1L0",519-623-4998 ,,info@pinevalleypark.com,519-623-4998 ,www.pinevalleypark.com,"Rated one of the Best 3 Family Campgrounds in Ontario! Our campground offers 2 playgrounds, 40x80 pool, mini-lake stocked with fish, frogs & turtles. Located 5 minutes from African Lion Safari, 20 minutes from Hamilton. Quiet, clean and relaxing.",Accommodations,-80.1115020000,43.3197900000
30,Ponderosa Nature Resort,"1218 Concession Road 8 West, Flamborough, N0B 2J0",905-659-3410,,PNR@PonderosaResort.ca,905-659-3410,www.ponderosaresort.ca,"The Ponderosa Nature Resort is open the year round for your recreational pleasure. Canada's loveliest family nudist resort. A spacious countryside surrounds you. Nature trails wind through stands of pine, cedar and mature hardwoods.",Accommodations,-80.1294955000,43.3620483000
31,Quality Hotel Hamilton - Choice Hotels Canada,"49 Goderich Road, Hamilton, L8E 4W8  ",905-578-1212 x1117,,sales@qualityhotelhamilton.com,905-578-1212 x1117,https://www.choicehotels.com/ontario/hamilton/quality-inn-hotels/cna40,"Located off the QEW and Centennial Pkwy, Quality Hotel Hamilton/Stoney Creek, Ontario offers Free full breakfast, free wireless high-speed Internet access, Free daily newspaper and Free parking on premises.  We're in a great spot not far from Toronto and Niagara Falls and only 1/4 km from picturesque Lake Ontario with Confederation Park and Wild Waterworks in the area. ",Accommodations,-79.7594275000,43.2443257000
32,Redeemer University College,"777 Garner Road East, Ancaster, L9K 1J4",905-648-2131,,stay@redeemer.ca,905-648-2131,www.redeemer.ca/accommodations,"Redeemer University College offers a unique location for your conference or special event. Summer accommodations are available in townhouses and apartment residences. Other facilities include: auditorium, banquet and meeting rooms.",Accommodations,-79.9489440000,43.2085942000
33,Rose Arden Bed & Breakfast,"266 Mountain Park Ave., Hamilton, L8V 1A5",905-387-2000,,rosearden@sympatico.ca,905-387-2000,www.rosearden.com,"Rose Arden is a century home located on the Hamilton escarpment, minutes from downtown, with a wonderful view of the city. Come and enjoy the view and our warm hospitality.",Accommodations,-79.8478475000,43.2415765000
34,Serenity Ranch Bed & Breakfast,"2171 Wilson Street West, Ancaster, L0R 1R0",289-346-0278,,stay@serenityranchbb.com,289-346-0278,www.serenityranchbb.com,"Rest...Relax...Renew...Recover...Welcome to Serenity Ranch Bed & Breakfast. Nestled in rolling farmlands just 15 minutes from downtown Hamilton, 20 minutes from Hamilton International Airport , 45 minutes from Toronto and 5 mins to the 403 Toronto/Niagara.",Accommodations,-80.0659350000,43.1873991000
35,Sheraton Hamilton Hotel,"116 King St. W, Hamilton",905-529-5515,,,905-529-5515,http://www.sheratonhamilton.com,"Find a familiar comfort at the Sheraton Hamilton Hotel in Hamilton. Located in the heart of the business district, our hotel is connected to Copps Coliseum, the Hamilton Convention Centre, and two great shopping malls. Explore our neighbourhood, from the Art Gallery of Hamilton to the exciting Hess Village. The Standard Life office tower as well as federal and provincial government offices are within walking distance. Nestled between Toronto and Niagara Falls, we are a great location for your Southern Ontario explorations or your meetings and conventions. We look forward to welcoming you to the Sheraton Hamilton Hotel.",Accommodations,-79.8721078000,43.2579581000
36,Staybridge Suites ,"20 Caroline Street South, Hamilton, L8P 0B1",905-527-1001,,,905-527-1001,www.staybridgehamilton.com,"Bridging the gap of leisure traveler wants and needs, the Staybridge Suites Hamilton – Downtown is proud to offer the best of both worlds. With pool and fitness centre facilities, free wireless internet, and 129 fully equipped guest suites, the only all-suites hotel in Hamilton is strategically designed to accommodate a wide variety of groups, individual and long-term travelers.",Accommodations,-79.8763648000,43.2579747000
37,Super 8 Motel,"2975 Homestead Drive, Mount Hope, L0R 1W0",905-679-3355,,super8hamiltonon@hotmail.com,905-679-3355,www.super8.com,"The Super 8 of Mount Hope is within minutes of Hamilton Airport, Canadian Warplane Museum, Cayuga Speedway and only 20 minutes to downtown convention center, 45 minutes to Niagara Falls and 45 minutes to Toronto. For recreation the area offers fishing, golf, shopping, beach, fitness center, Spa and casino.",Accommodations,-79.9112938000,43.1625884000
38,The Barracks Inn,"425 Wilson Street, Ancaster, L9G 2C4",289-445-1234,,reservations@thebarracksinn.com,289-445-1234,www.thebarracksinn.com,"The Barracks Inn is conveniently located within walking distance of the Ancaster Mill, a most popular wedding venue. Also within walking distance the Ancaster Village has great shopping with many boutique stores, The Spa at Ancaster, many dining options such as Cavallo Nero’s, the Rousseau House restaurant and lounge, and many more. The Barracks Inn features 18 luxuriously appointed rooms, subtly blending unique period décor with the finest of modern guest amenities. This unique boutique inn will cater to the leisure and business traveller. Featuring conference/meeting/group facilities, Spa Packages, Golf Packages, Couple/Romance package, and Holiday/Winter Packages.",Accommodations,-79.9751626000,43.2295301000
39,The Homestead 1867,"36 Melville Street, Dundas, L9H 1Z8",289-238-8720 ,,info@thehomestead1867.ca,289-238-8720 ,www.thehomestead1867.ca,The house was built in 1867 and it was owned by one family who lived there for many generations. This bed & breakfast is an ideal place for a short break or longer stay in the Heritage District of downtown Dundas. It is just a few steps to a great variety of shops and restaurants. McMaster University in Hamilton is a short ten minutes drive away from our house. The Dundas Valley is very attractive for all kinds of outdoor activities.,Accommodations,-79.9555523000,43.2683632000
40,The Shavers Bed & Breakfast,"1868 Shaver Road, Ancaster, L9G 3L1",905-648-3326,,theshaversbnb@gmail.com,905-648-3326,http://www.theshaversbnb.ca/,Enjoy our 650 sq.ft. self-contained private suite/private entrance/private bathroom/all amenities included. Corporate/ Weekly rates available.,Accommodations,-79.9977913000,43.1529274000
41,Tranquility Base B & B,"110 Abbey Close, Ancaster, L9G 4K7",905-648-1506,,tranquilitybnb@cogeco.ca,905-648-1506,www.tranquilitybase.on.ca,"We cater to guests that come to Ancaster, Dundas and Hamilton for weddings and visiting family. We are ideally located for vacation travelers who want a unique experience.",Accommodations,-80.0014909000,43.2094707000
42,Valens Conservation Area and Campground,"1691 Regional Road 97, Cambridge, N1R 5S5",905-525-2183,,valens@conservationhamilton.ca,905-525-2183,www.conservationhamilton.ca/,"Valens is a 300-hectare paradise for outdoor enthusiasts. Visitors can enjoy a wide range of activities from camping in any season to fishing, hiking, swimming, wildlife observation and winter sports.",Accommodations,-80.3833886000,43.3424556000
43,Visitors Inn,"649 Main Street West, Hamilton, L8S 1A2",905-529-6979,,reservations@visitorsinn.com,905-529-6979,www.visitorsinn.com,"Whether you are on a business trip, holding a small meeting, enjoying a relaxing weekend, or attending a family function, you are assured of a warm and friendly welcome when you stay at the Visitors Inn Hotel. You will discover elegant rooms, Jacuzzi Suites, Meeting Room and VIP Restaurant. Beautiful Indoor Pool, Jacuzzi, Exercise room. Free internet, coffee-makers, fridges, mini-bars and iron/boards. Located minutes to McMaster or Downtown.",Accommodations,-79.8970173000,43.2601882000
44,337 Sketch Gallery,"337 Ottawa St N, Hamilton, ON L8H 3Z8",905-966-2892,,337sketch@gmail.com,905-966-2892,http://www.facebook.com/pages/337-Sketch-Gallery/214506261926943#!/pages/337-Sketch-Gallery/214506261926943?sk=info,Open Wed - Sat:10:00 am - 5:00 pm,Art Galleries,-79.8164020000,43.2514240000
45,AGH Design Annex ,"118 James Street North, Hamilton, ON L8R 2K7",905-667-6620,,annex@artgalleryofhamilton.com,905-667-6620,http://www.artgalleryofhamilton.com/da_index.php,"The Design Annex is a creativity lab where experimental exhibitions are mounted and intimate performances staged, complemented by an exciting home and office Art + Design Store and versatile venue rental space. Located at 118 James Street North in a beautifully restored 19th century heritage building, the AGH Design Annex provides an alternate venue for AGH programming and events that is unique in Hamilton.",Art Galleries,-79.8672880000,43.2601290000
46,AllSorts Gallery,"244 Ottawa Street North, Hamilton, ON L8H 3Z7",905-393-7381,,info@allsortsgallery.com,905-393-7381,http://www.allsortsgallery.com,"AllSorts Gallery, located in the Ottawa Street BIA at 244 Ottawa Street North in Hamilton, Ontario, Canada provides a venue for Hamilton and area artists to display and sell their work. As a group we work to increase awareness and appreciation of the arts in the community.",Art Galleries,-79.8169330000,43.2494630000
47,Art @ 231 ,"231 James Street North, Hamilton, ON L8R 2L2",905.617.0722,,info@artat231.com,905.617.0722,http://www.artat231.com,"Art @ 231 is a beacon for artists to exhibit their works. It is an intimate gallery that helps set the stage in a beautiful, clean, bright open space in the heart of James Street North in Hamilton, Ontario. As active participants in the ongoing development of the art culture in the James Street North community, our objective is to assist artists to exhibit, promote, organize and sell their art.",Art Galleries,-79.8666540000,43.2628180000
48,Art Gallery of Hamilton,"123 King St. W. Hamilton,ON L8N 1A9",905-527-6610,,info@artgalleryofhamilton.com,905-527-6610,http://www.artgalleryofhamilton.com,"Art Gallery of Hamilton is home to a comprehensive collection of Canadian historical, contemporary art and an impressive European collection. AGH hosts an exciting schedule of varied exhibitions and programming.*2012 First Fridays: Beginning in 2012, the Gallery will be open from 11:00 am - 8:00 pm on the First Friday of each month. Free admission to GALLERY LEVEL ONE exhibitions will be from 4:00 pm - 8:00 pm.",Art Galleries,-79.8724073681,43.2572413242
49,Artword Artbar,"15 Colbourne St., Hamilton, ON L8R 2G2",905-543-8512 ,,artword@artword.net,905-543-8512 ,http://www.artword.net/artbar/,"A friendly cafe-bar, live music and art venue in the heart of James North arts district. Great acoustic music, in the roots, folk, jazz, world beat and inventive mode. We have a baby grand piano, a sound system. Licenced under the LLBO for 60, table seating for 40 or so, micro-brew on tap, espresso, light meals.",Art Galleries,-79.8668040000,43.2634370000
50,b contemporary,"226 James Street North, Hamilton, ON L8R 2L3",289 389 3949,,davidbrace@bcontemporary.ca,289 389 3949,http://www.bcontemporary.ca,"b contemporary is located in the heart of the James St North Arts District. The street is an eclectic mix of businesses with an international flavour. Markets, cafes, restaurants, and retail businesses create a vibrant street life. The Art Crawl, in the evening on the second Friday every month, is an exciting night of gallery openings, studio open houses, and performances.",Art Galleries,-79.8663970000,43.2624480000
51,Blue Angel Gallery,"243 James St. North, Hamilton, ON L8R 2L2",905.522.8735 (voice),,,905.522.8735 (voice),https://www.facebook.com/blueangelsofthegallery,"It was time for new Angels to find a home to share their joy and pizzazz to the James Street North Art District in Hamilton, Ontario. We are having so much fun that we don't want to return because Earth is a such splendid place for us to create our heavenly artwork. Please come to visit and help spread the magic!",Art Galleries,-79.8665250000,43.2628360000
52,Bold Artiste,"6 Bold Street, Hamilton, ON L8P 1T2",905-902-2219,,boldartiste@gmail.com,905-902-2219,www.boldartiste.com,"The art studio will be selling and promoting the creations of established and emerging artists located in Hamilton and the surrounding area. The studio will offer art of various genres and media suitable for framing, sculpture, glass, wood, textiles, jewelry, handmade specialty cards and unique gifts for every occasion.",Art Galleries,-79.8711870000,43.2528120000
53,Centre3 for Print and Media,"173 James St. N., Hamilton, ON L8R 2K9",905-524-5084,,education@centre3.com,905-524-5084,http://centre3.com/,"As an artist run centre, the Centre 3 for Print and Media Arts mission is to create a professional print media environment for practicing artists and the community at large with integrative production, presentation, arts education and community programming.Visitors are welcome to experience the diverse print media on exhibit in the Gallery during scheduled hours. The Print Studio also offers a regular schedule of Education and Community Programs.",Art Galleries,-79.8672520000,43.2611810000
54,CIRCA,"112 George Street, Hamilton, ON L8P 1E2",905-921-1237,,projects.circa@gmail.com,905-921-1237,www.circaprojects.com,"CIRCA is iloks / swell's collaborative exploration of the ever-changing meanings and experiences of photography. Through small-scale exhibitions, events and services, CIRCA offers everyone a place to share ideas and stories about how we have been touched by photography in multiple ways. CIRCA presents theme-oriented photography exhibitions of original content dating from the 1840s to the present. Exhibitions feature historical and vernacular photography alongside photo-based period objects and performance. CIRCA also works with contemporary photographers, filmmakers and media artists to present selected works under the programme, CIRCA NOW. CIRCA NOW aims to examine and expand notions of what photo-based can mean in our current visual landscape.",Art Galleries,-79.8786320000,43.2585450000
55,Donn Zver Pottery,"2290 Highway #5 W, Troy, ON L0R 2B0 ",519-647-2117,,zver@bis.on.ca,519-647-2117,www.donnzver.com,"Our pottery is conveniently located in the historic village of Troy, surrounded by the sights and sounds of rural Ontario. You are invited to visit our uniquely restored studio and watch skilled potters at work. Browse through the varied selection of hand crafted stoneware on display in our showroom.",Art Galleries,-80.1827306220,43.2610018986
56,Dundas Valley School of Art     ,"21 Ogilvie Street Dundas, ON L9H 2S1 ",905-628-6357,,dvsa@cogeco.net,905-628-6357,www.dvsa.ca,"Visual art instruction for students ranging from pre-school to senior citizens. The in-house Dofasco Gallery showcases the work of local and regional artists, full part-time programs.",Art Galleries,-79.9542463882,43.2648645906
57,Earl's Court Gallery,"215 Ottawa Street N., Hamilton, ON L8H 3Z4",905-527-6685,,robert.daniels@sympatico.ca,905-527-6685,www.earlscourtgallery.ca,"Step inside our Ottawa Street gallery and be welcomed by friendly art experts. Regular scheduled openings for featured artists offer a great time to meet the artist, enjoy excellent refreshments and learn more about the featured art. Earls Court Gallery believes that art is not just a luxury, but should be affordable and accessible. We also believe that education of art is key. Earls Court Gallery offers tours to every exhibition to school groups of all ages and to community organizations.",Art Galleries,-79.8175085000,43.2484549000
58,El Camino Studio & Gallery ,"22 Wilson St., Hamilton, ON L8R 1C5",905-484-3796,,elcaminostudio@gmail.com,905-484-3796,www.elcaminostudio.wordpress.com,"The El Camino Studio Gallery strives to provide a venue to foster and facilitate the study of the human form by the artist. By maintaining a scheduled and sustained rotation of artist models, the participants can develop their craft on an ongoing basis. Opening up the studio to the public on non-sessional times as a gallery, allows the artists to showcase, exhibit and market their work. A measure of the success of the studio/gallery is in the creation of a positive and engaged community of artists and patrons.",Art Galleries,-79.8670379000,43.2589670000
59,Flagship Gallery,"237 James St. North, Hamilton, ON L8R 2L2",905-577-8585,,,905-577-8585,www.facebook.com/FlagshipGallery,"Flagship Gallery is a exhibition space and cultural hub in core of the James Street art district in Hamilton. Working from a broadly conceived Christian worldview, this collective of artists seeks to engage in questions of meaning, faith, and culture.",Art Galleries,-79.8664296000,43.2626717000
60,Gallery 4,"55 York Blvd., Hamilton, ON L8N 4E4",905-546-3200,,ARTS@hpl.ca,905-546-3200,www.hpl.ca/node/24626,"Opened as an 'alternative gallery space' to be offered free of charge to local professional and non-professional artists, the exhibition space at Central library has long been a venue for Hamilton and area artists. It is located on the 4th floor of the downtown branch and has been in continuous operation since 1984 making it the second oldest gallery in the James North district, (preceded by the Hamilton Artists Inc.)Gallery 4 at Central Library features monthly exhibitions by emerging local artists and also provides mid-career artists the opportunity to develop new ideas in a public setting.",Art Galleries,-79.8707569000,43.2591555000
61,Gallery on the Bay,"231 Bay St. North, Hamilton, ON L8R 2R1",905-540-8532,,marlaise@bell.net,905-540-8532,www.galleryonthebay.com,"Since 1995 Gallery on the Bay offers Fine Canadian Art in a relaxing atmosphere of Tropical Plants and a Cappuccino Bar. Located in the converted headquarters of a Steel Company, featuring local and regional artists and a collection of historical work. Gallery on the Bay also hosts literary events and musical evenings",Art Galleries,-79.8700162000,43.2651871000
62,Hamilton Artists Inc.,"155 James Street North, Hamilton, ON L8R 2K9 ",905-529-3355,,info@theinc.ca,905-529-3355,http://theinc.ca/,"Hamilton Artists Inc. is an artist run centre committed to the presentation, dissemination and advocacy of Canadian contemporary visual arts practice which speaks to and enhances our regional cultural activity. The centre presents a diverse range of multidisciplinary programming with a primary focus on emerging aesthetics in contemporary art including: installation, painting, photography, graphic arts, video, performance and new media.",Art Galleries,-79.8673721000,43.2608623000
63,Hamilton Audio Visual Node,"26 Barton St. E, Hamilton, ON CA",,,havnode@gmail.com,,http://havnode.com/,"HAVN is a multi-modal node for the development, exhibition, documentation, and dispersal of sound, images, and ideas.",Art Galleries,-79.8649351000,43.2636225000
64,Hoop Gallery,"191 King Street East, Hamilton, ON L8N 1B3",647-524-2498,,fionahoop@yahoo.ca,647-524-2498,www.hoopgalleries.com,"Hoop Gallery actively promotes a culture of diversity through analogy and connection. To that end the presentation of ideas, images, objects and events are themed and curated around a central motif. The point is to travel and explore. We intend to provide the environment and circumstances in which florid complexities can emerge and proliferate. We aim to be part of the architecture of change and innovation blossoming in the city. Hoop Gallery welcomes collectors and first time buyers with equal warmth and enthusiasm.",Art Galleries,-79.8634234000,43.2550756000
65,James North Studio,"328 James St. N, Hamilton, ON L8L 1H2",905 528-6437 ,,jamesnorthartcollective@gmail.com,905 528-6437 ,http://www.jamesnorthstudio.com/,"The James North Art Collective is made up of 13 visual artists and crafts people working in many disciplines: drawing, painting, printmaking, ceramics, jewellery, photography and sculpture. The artists have banded together to operate James North Studio Gallery to showcase their work.",Art Galleries,-79.8654257000,43.2646223000
